timestamp_ms,bytes_read,bytes_written
1,35459072,1159168
5407,141893632,121262080
10782,165683200,291196928
16099,473972736,632389632
21430,783286272,1169977344
26778,1065508864,1665474560
32084,1334063104,2027581440
37397,1602576384,2381004800
42761,2004828160,3003813888
48087,2273218560,3406401536
53442,2676453376,3926593536
58777,2944634880,4349657088
64125,3347038208,4758822912
69453,3615313920,5409460224
74811,4017557504,6108131328
80144,4419932160,6550261760
85490,4822245376,6928031744
90824,5224591360,7443095552
96122,5492899840,7885393920
101455,5894946816,8236425216
106794,6431293440,8529936384
112146,6699470848,8994795520
117472,7101759488,10067591168
122831,7503912960,10731315200
128134,7906443264,11281534976
133476,8174841856,12365295616
138805,8577462272,12729655296
144136,8845717504,13287075840
149505,9114034176,13448163328
154833,9304522752,13796184064
160165,9516519424,14077112320
165473,9918836736,14377050112
170790,10186784768,14883913728
176201,10455113728,15571320832
181524,10857259008,16433037312
186816,11125485568,16792215552
192162,11527974912,17124687872
197519,11796213760,17531011072
202836,12198699008,18028154880
208177,12466855936,18463461376
213498,13011599360,18803159040
218857,13548036096,20200890368
224213,14355935232,21155594240
229578,14950961152,22112911360
234901,15507390464,22688673792
240253,15874068480,23327952896
245608,16438222848,23881674752
250971,16861601792,24385839104
256300,17324064768,25216057344
261660,17810743296,25814499328
267022,18224914432,27526078464
272363,18493087744,27928530944
277754,19029282816,28389220352
283121,19297128448,28755898368
288468,19734929408,29336195072
293840,20246499328,29852790784
299231,20616527872,30650576896
304566,21259108352,30990856192
309942,21763252224,31601430528
315311,22301777920,32097898496
320675,22634053632,32463675392
326059,23084531712,32897294336
331410,23894110208,33604870144
336758,24402710528,34320277504
342131,24986574848,34911170560
347600,25530494976,35488112640
352984,26028326912,36168400896
358347,26633863168,36630298624
363763,27229851648,37661814784
369123,28106334208,38589177856
374499,28915707904,39658827776
379832,29749100544,40196173824
385193,29926785024,40746549248
390556,30337204224,41274851328
395925,31044825088,42328772608
401326,31219163136,44585033728
406778,31846494208,45185007616
412134,32716361728,45782503424
417511,33143312384,47347200000
422905,33552875520,47916654592
428274,34168610816,48560607232
433656,34705645568,48867856384
438989,35113885696,49238507520
444367,35824967680,49881022464
449788,36367486976,50281394176
455186,36867485696,50916003840
460571,37534203904,51944824832
465922,38057443328,53004247040
471285,38594752512,53506170880
476672,39069995008,53996142592
482221,39744802816,54580174848
487607,40308396032,54988763136
493029,41227460608,55931768832
498385,41715130368,56780967936
503751,42461270016,57285390336
509182,42936905728,58370973696
514573,43807248384,58942644224
519941,44422082560,59375849472
525312,45134893056,60118495232
530713,45672194048,63418957824
536127,46268592128,64156401664
541467,46614327296,64889102336
546857,47299854336,65625808896
552240,47811035136,66242654208
557600,48245710848,66580234240
562963,48754270208,66937307136
568354,49544585216,67568685056
573694,50293678080,68051349504
579038,50692534272,68482560000
584436,51116777472,69100199936
589813,51657199616,69665234944
595136,51737624576,70345605120
600542,52900380672,71835181056
605987,53382848512,72641146880
611347,53958549504,73371734016
616706,54836432896,73438998528
622237,54977159168,73954762752
627670,55431626752,74166812672
633124,55569563648,74627035136
638540,56515960832,75681046528
643993,56974737408,76637491200
649528,57924739072,77582348288
655026,58392350720,78254186496
660482,58802176000,78480789504
665884,59409829888,79045181440
671305,59749691392,79547797504
676723,60673294336,79689515008
682295,60684111872,80222236672
687680,60824264704,80533532672
693152,61255249920,82075697152
698638,62070554624,82412601344
704073,62608510976,83706912768
709586,63294541824,84211388416
715041,63492485120,84608962560
720459,63821185024,85387177984
725870,64310611968,85802373120
731216,65023971328,85802467328
736775,65245646848,86887555072
742161,65381408768,90018181120
747613,65864065024,90430070784
753002,66595717120,90770968576
758505,67031834624,91326750720
763982,67799592960,92112674816
769410,68209192960,92548972544
