timestamp_ms,disk_usage
0,1499136
5400,11665408
10749,25452544
21409,73244672
26749,111132672
32124,157491200
37501,219963392
42828,339660800
48181,506400768
53510,749432832
58862,1116090368
64209,1530277888
69557,2034237440
74908,2625736704
80256,3164528640
85597,3718979584
90948,4257669120
96296,4889411584
101669,5468581888
107013,6137217024
112371,6808612864
117700,7930310656
123065,9007235072
128403,9644724224
133718,10264203264
139069,10948227072
144423,11540836352
149774,12296912896
155104,13134983168
160469,14314311680
165859,14958895104
171248,16574967808
176640,17357766656
182013,18189414400
187421,19015389184
192817,19980595200
198187,20928204800
203588,21845336064
208970,22377267200
214348,22894407680
219697,23528697856
225040,24148938752
230406,24740478976
235813,25186070528
241193,26796883968
246557,27261288448
251957,28333228032
257379,29040156672
262747,29627027456
268140,31277195264
273533,32913129472
278912,34004004864
284302,34732011520
