timestamp_ms,bytes_read,bytes_written
0,57344,1748992
5400,1318912,34410496
10749,2699264,63184896
16087,4239360,104562688
21409,5844992,150700032
26749,7585792,214962176
32124,8462336,284663808
37501,10084352,377118720
42828,14639104,531005440
48181,155205632,730144768
53510,312356864,1025396736
58862,601309184,1454288896
64209,743104512,1910120448
69557,879570944,2428882944
74908,1013878784,3011547136
80256,1148276736,3578892288
85597,1282469888,4140490752
90948,1818841088,4762501120
96296,2087165952,5448380416
101669,2489532416,6089678848
107013,2891771904,6778073088
112371,3294404608,7464779776
117700,3653029888,8586387456
123065,4222709760,9716097024
128403,4791922688,10370793472
133718,5496348672,11034574848
139069,6040076288,11719483392
144423,6667919360,12289191936
149774,7479959552,13033123840
155104,8096993280,13843767296
160469,8938201088,15182393344
165859,9701474304,15855284224
171248,10606645248,17609400320
176640,11182641152,18513670144
182013,12001763328,19346722816
187421,12807581696,20240482304
192817,13695139840,21201698816
198187,14512689152,22139846656
203588,15269494784,23021522944
208970,15944818688,23562432512
214348,16773722112,24123871232
219697,17456816128,24772853760
225040,18159448064,25432842240
230406,18635403264,26045759488
235813,19489861632,26517762048
241193,20212367360,28156882944
246557,20968353792,28666896384
251957,21863473152,29761486848
257379,22520725504,30803468288
262747,23375601664,31349669888
268140,24195244032,33016492032
273533,24877436928,34689789952
278912,25792614400,35757670400
284302,26776858624,36526399488
