timestamp_ms,phys_footprint,phys_footprint_peak
0,6668288,6668288
5400,149946368,149946368
10749,155189248,155189248
16087,162529280,162529280
21409,174063616,174063616
26749,186646528,186646528
32124,203423744,203423744
37501,242221056,242221056
42828,282066944,282066944
48181,361758720,361758720
53510,458227712,465567744
58862,657457152,657457152
64209,871366656,878706688
69557,1115684864,1135607808
74908,1410334720,1427111936
80256,1689255936,1689255936
85597,1865416704,1865416704
90948,1887436800,2166358016
96296,1997537280,2218786816
101669,2382364672,2382364672
107013,2679111680,2694840320
112371,2881486848,2915041280
117700,3201302528,3205496832
123065,3555721216,3555721216
128403,3903848448,3903848448
133718,4293918720,4304404480
139069,4745854976,4745854976
144423,4971298816,4972347392
149774,5403312128,5410652160
155104,5717884928,5730467840
160469,5802819584,5807013888
165859,5869928448,5892997120
171248,5962203136,6005194752
176640,6007291904,6068109312
182013,5996806144,6111100928
187421,6040846336,6111100928
192817,5975834624,6111100928
198187,5987368960,6111100928
203588,6028263424,6111100928
208970,6137315328,6159335424
214348,6261047296,6264193024
219697,6293553152,6293553152
225040,5795479552,6299844608
230406,5795479552,6299844608
235813,5907677184,6299844608
241193,5998903296,6299844608
246557,6012534784,6299844608
251957,6231687168,6299844608
257379,6220152832,6299844608
262747,6321864704,6329204736
268140,6377439232,6377439232
273533,6472859648,6504316928
278912,6943670272,6959398912
284302,6823084032,6971981824
