timestamp_ms,phys_footprint,phys_footprint_peak
0,6897664,6897664
5358,150994944,150994944
10736,155189248,155189248
16072,159383552,159383552
21492,167772160,167772160
26866,180355072,180355072
32210,213909504,213909504
37575,231735296,231735296
42949,292552704,292552704
48287,394264576,428867584
53591,584056832,584056832
58936,808452096,813694976
64284,972029952,1017118720
69637,1193279488,1194328064
74981,1324351488,1356857344
80321,1388314624,1819279360
85651,1560281088,1822425088
90985,1828716544,1843396608
96326,1948254208,2003828736
101642,2085617664,2121269248
107008,2211446784,2250244096
112356,2315255808,2321547264
117710,2587885568,2587885568
123054,2580545536,2589982720
128378,2512388096,2774532096
133709,2912944128,2925527040
139055,3203399680,3203399680
144388,2707423232,3566206976
149770,3119513600,3566206976
155103,3380609024,3566206976
160444,3607101440,3613392896
165780,3726639104,3743416320
171130,3379560448,3788505088
176473,3565158400,3788505088
181832,3379560448,3788505088
187195,3528458240,3788505088
192539,3258974208,3788505088
197876,3502243840,3788505088
203235,3203399680,3788505088
208618,3141533696,3788505088
214016,3476029440,3788505088
219377,3689938944,3788505088
224761,3771727872,3804233728
230127,3659530240,3948937216
235476,3917479936,3948937216
240848,4127195136,4162846720
246246,4562354176,4562354176
251595,4838129664,4838129664
256968,5087690752,5100273664
262349,5189402624,5193596928
267740,5661261824,5661261824
273114,5758779392,5766119424
278519,5508169728,6100615168
283910,5904531456,6100615168
289297,5558501376,6332350464
294641,5743050752,6332350464
300036,4717543424,6332350464
305403,5015339008,6332350464
310768,3932160000,6332350464
316172,4347396096,6332350464
321566,3955228672,6332350464
326950,4386193408,6332350464
332338,4535091200,6332350464
337726,4886364160,6332350464
343134,4432330752,6332350464
348526,4557111296,6332350464
353901,4992270336,6332350464
359302,4351590400,6332350464
364688,4756340736,6332350464
370068,4256169984,6332350464
375475,4772069376,6332350464
380877,4736417792,6332350464
386262,5150605312,6332350464
391690,5183111168,6332350464
397089,5710544896,6332350464
402514,5298454528,6332350464
407959,5620367360,6332350464
