timestamp_ms,bytes_read,bytes_written
1,61440,1708032
5369,1097728,34205696
10721,2572288,73375744
16073,4014080,102625280
21416,5754880,148758528
26767,7491584,213893120
32141,8425472,281079808
37497,10145792,375316480
42835,15470592,536313856
48165,27844608,782188544
53498,54648832,1221066752
58858,68820992,1635643392
64225,73117696,2118463488
69564,75059200,2791464960
74897,75321344,3321851904
80233,76058624,3893784576
85614,77168640,4615606272
90927,78622720,5406572544
96254,79527936,6024839168
101611,80343040,6727278592
106943,81199104,7679041536
112277,82051072,8748863488
117629,82870272,9400020992
122971,83939328,10123792384
128318,85024768,10891505664
133673,154173440,11698929664
139021,289361920,12457652224
144419,1052463104,13644918784
149785,1708404736,14344601600
155135,2571907072,16105824256
160508,3361968128,17210339328
165853,4042698752,18161287168
171228,4798447616,18900094976
176581,5606285312,19767078912
181975,6449160192,20554158080
187371,7145209856,21377122304
192740,7845187584,22057717760
198104,8545996800,22723506176
203470,9449226240,23516221440
208846,10180366336,24340643840
214199,11033300992,25901584384
219548,11959992320,26531471360
224911,12906835968,27552243712
230285,13693652992,28409602048
235677,14560956416,29854953472
241039,15545483264,30575472640
246422,16182808576,32707125248
251802,17039392768,33271230464
257202,17894604800,34228805632
262662,18849361920,35040948224
268100,19893911552,36126834688
273493,21073219584,37128425472
278848,22177607680,37945237504
284207,23154634752,38538162176
289574,23955816448,39379677184
294957,24965345280,40181075968
300347,25644322816,40813854720
305717,26569437184,41684119552
311100,27557687296,42333732864
316478,28454694912,43299024896
321904,29241413632,43792691200
327292,30416183296,45203406848
332680,31137136640,46018088960
338085,32248664064,47012925440
343450,33061449728,49212940288
348821,34242678784,50294398976
354225,35444809728,51937865728
359626,36569690112,52955811840
365034,37453914112,53886201856
370436,38638620672,55020654592
375847,39814180864,55923601408
381223,41157804032,56942489600
386639,42318090240,58114367488
392032,43572363264,58925735936
397421,44610379776,59550363648
402825,45948215296,60546236416
408235,46865973248,60971597824
413622,47977365504,62027804672
419006,49253666816,63378657280
424418,50358067200,63970906112
429809,51587518464,65140084736
435215,53094092800,65548619776
440594,54289764352,66834976768
445981,55422681088,67699625984
451400,56823685120,69080080384
456821,58229121024,69947465728
462226,59337981952,70739296256
467638,60724826112,72022413312
473065,62148530176,72818397184
478486,63260377088,73272057856
483932,64822132736,74538401792
489378,66145218560,76029583360
494813,67847221248,76970205184
500177,68959350784,77926100992
505568,70306353152,78880079872
510956,71960608768,79784882176
516370,73375035392,80674664448
521756,74728673280,81653841920
527158,76367859712,82480173056
532608,78409605120,83081093120
538000,80225464320,84977213440
543393,81387438080,85969506304
548814,82668036096,86607417344
554213,84281114624,87323041792
559676,87314239488,89562759168
565076,88379269120,91444789248
570484,90075791360,92685099008
575875,91909738496,93807181824
581253,93307510784,94708240384
586667,94840336384,95779061760
