timestamp_ms,bytes_read,bytes_written
1,51843072,1925120
5409,136585216,28270592
10735,138199040,64454656
16058,139644928,107282432
21438,141250560,148959232
26800,142962688,204771328
32139,143896576,279367680
37513,145649664,376270848
42882,149942272,485502976
48249,289431552,693694464
53558,447987712,980852736
58895,736907264,1447088128
64211,879865856,1901117440
69542,1015496704,2461814784
74886,1149779968,2928820224
80250,1284145152,3428667392
85604,1687150592,4048670720
90940,2089373696,4651696128
96284,2621059072,5381210112
101642,3050622976,5982416896
106980,3606061056,6654529536
112319,3956830208,7293648896
117644,4633899008,8240082944
122980,5148721152,9171128320
128319,5642715136,9838809088
133659,6184525824,10266079232
138997,6858764288,10931847168
144358,7374409728,11614019584
149750,8093331456,12303888384
155104,8710148096,13286219776
160418,9475248128,14180687872
165786,10184474624,15238062080
171156,10911805440,16464171008
176481,11481862144,17637031936
181846,12182564864,18441863168
187196,12952305664,19241431040
192601,13409820672,19961405440
197979,14232412160,20740509696
203364,14981836800,21449809920
208726,15796621312,22025494528
214099,16520691712,22716743680
219475,16938545152,23297404928
224823,17487159296,23906295808
230212,18487050240,24533835776
235584,19052720128,26008535040
240926,19752767488,26575421440
246356,20713926656,27498344448
251720,21381627904,28383379456
257119,21969338368,28758859776
262499,22689189888,30232031232
267864,23407173632,30606245888
273235,24095461376,33001242624
278654,24882405376,33469206528
284028,25729925120,34788241408
289409,26438598656,35748745216
294795,27582066688,36804960256
300190,28452892672,37503074304
305533,29498892288,38163001344
310921,30419021824,38856388608
316306,31092002816,39432073216
321684,31810039808,40268369920
327069,32502480896,40752697344
332468,33408753664,41745436672
337850,34131222528,42149584896
343255,34863489024,43199565824
348649,35775541248,43709952000
354063,36556611584,44912173056
359452,37306400768,45332000768
364852,38310174720,46475223040
370275,39231713280,48752918528
375691,39757893632,49372262400
381106,40885207040,50669068288
386498,42086506496,52602462208
391882,42694717440,53263417344
397270,43859783680,54022406144
402700,44552916992,54598004736
408118,45846728704,55729405952
413540,46604656640,56567992320
418958,47517863936,57321766912
424367,48473747456,58272182272
429752,49549643776,58872979456
435162,50262491136,59525218304
440563,51200118784,60736835584
445947,52357844992,61694976000
451360,53511045120,62617145344
456757,54593896448,63820623872
462145,55503458304,64148844544
467569,56475480064,64891564032
472982,57454788608,66184593408
478379,58992001024,66474090496
483757,60141608960,69052686336
489168,60793073664,69985861632
494610,61995003904,71118508032
500044,63447162880,71786524672
505421,64354078720,72441716736
510819,65585631232,73430020096
516235,66846068736,74551791616
521643,68100341760,75158921216
527079,69130620928,75672174592
532519,70634471424,76898209792
537924,71753007104,77496209408
543335,73011412992,77952356352
548767,73820274688,78780899328
554210,74508627968,79765925888
559618,75885281280,80550252544
565029,77149941760,81402732544
570447,78212280320,82317668352
575875,79473098752,83374567424
581310,81291771904,83966021632
586687,82355658752,84533624832
592056,85264732160,86400872448
597468,86616563712,86982963200
602884,87663525888,87682945024
608305,88946851840,88602644480
613744,90368606208,89549049856
619150,92729044992,90350444544
624546,94487867392,90681614336
629951,96411140096,92326322176
635404,97932582912,92805918720
640867,99603283968,93466042368
646331,100637589504,94019534848
651796,101919465472,94800633856
657254,103177302016,95617875968
662664,104454565888,96040468480
668120,105671917568,96656220160
673542,107098025984,99636170752
678952,108130340864,100383924224
684406,109703380992,101400231936
689856,111868878848,102416809984
695259,113776173056,102902919168
700700,115278192640,103853244416
706137,116370370560,104591863808
711576,118038921216,105099321344
717039,119312437248,105767968768
722505,120454504448,106477731840
727926,121931300864,107231961088
733381,123201724416,108470161408
738821,124748652544,109746597888
744276,126954876928,110840623104
749820,128648495104,111292096512
755241,129864138752,112322998272
760663,131207942144,113153794048
766072,132631678976,113941917696
771506,134277976064,114676621312
776912,135836442624,115261861888
782350,137156915200,116294135808
787764,138482552832,117182976000
793204,139669450752,117768335360
798625,141408006144,118574845952
804033,142579044352,118905606144
809482,143924981760,119872245760
814935,144839430144,120948948992
820394,146223636480,122136526848
825818,148253609984,123128561664
831277,149797797888,123700297728
836704,151248883712,124739248128
842140,152637685760,125505941504
847572,154826850304,126235197440
853054,156588326912,127416225792
858485,158297219072,128167456768
863897,159948963840,128800522240
869263,163546296320,129529233408
874615,165718261760,129529954304
880015,168473071616,135045660672
885427,171087638528,135045660672
890904,173646487552,136186490880
896374,175751368704,136775348224
901890,178283835392,137440292864
907345,180325343232,138286649344
912790,182207217664,139548893184
918252,184890052608,140274655232
923666,187446624256,141434175488
929119,190024114176,142117715968
934564,192273772544,142903590912
939991,193984925696,142962577408
945446,195691081728,144201814016
950864,197239799808,145252589568
956335,199205789696,146192654336
961797,201669824512,146775007232
967246,203464077312,147548430336
972693,205018038272,148525826048
978165,207693627392,149371699200
983631,209497518080,150512996352
989080,211629658112,151764525056
994516,213975265280,152852684800
999971,216727449600,153476050944
1005437,219225563136,154751057920
1010908,221601234944,155683295232
1016358,224312365056,156394295296
1021816,227027312640,157596266496
1027272,229555871744,158422921216
1032730,233000546304,159547396096
1038181,236323307520,159801311232
1043651,238921469952,161183141888
1049092,242046078976,161724411904
1054519,243989893120,162625048576
1059948,246372954112,163673853952
1065407,249149939712,164324745216
1070836,251864637440,165103951872
1076305,254560063488,165782220800
1081768,258385571840,166684839936
1087198,261109891072,169185685504
1092673,263296020480,169185685504
1098259,266102886400,170384269312
1103758,269303197696,170562797568
1109280,272427528192,171952852992
1114796,275789656064,172751130624
1120309,279423938560,173631004672
1125834,282316308480,174174711808
1131417,285342584832,175443832832
1136928,288420483072,176231993344
1142368,291808223232,177270751232
1147857,294451597312,178113548288
1153377,297974300672,178606489600
1158884,300948840448,179365896192
1164378,304011538432,179682263040
1169942,306382606336,180989960192
1175450,309878521856,181707771904
1180988,312054550528,182702542848
1186529,314744119296,183296393216
1192076,318139039744,183997366272
1197614,320640446464,185173385216
1203123,324110573568,185372487680
1208658,326911676416,186079379456
1214118,330838319104,186343931904
1219609,333410758656,188845547520
1225341,333413036032,193021714432
1230775,338069241856,193021714432
1236251,341848834048,193021714432
1241768,345387671552,193857847296
1247351,348405288960,194407616512
1252855,350790369280,194800025600
1258344,354066255872,194800025600
1263888,357431570432,195769147392
1269450,359635943424,196035977216
1275006,361937502208,197229174784
1280532,364714487808,197492875264
1286044,367219642368,198200291328
1291569,369622171648,198447640576
1297090,371213000704,198909403136
1302650,373165944832,203507253248
1308181,376015728640,203507253248
1313785,378886586368,204221865984
1319317,381405790208,204335460352
1324915,384858206208,205530861568
1330422,388149145600,205961592832
1336014,390567718912,206804480000
1341608,393634148352,207326175232
1347246,396077690880,207732678656
1352827,399262457856,208172908544
1358393,401723158528,208682098688
1363963,404602437632,209623326720
1369537,407279534080,209933053952
1375135,410156122112,211025178624
1380737,412967829504,211105976320
1386341,415232135168,212085358592
1391956,418778820608,212733177856
1397483,422369218560,212941819904
1403037,425419923456,213889560576
1408569,429203136512,214359953408
1414105,432217624576,215047741440
1419676,435697332224,215158018048
1425284,438621249536,215523233792
1430879,442206068736,216557879296
1436434,445258702848,216833261568
1442039,447870541824,218023936000
1447568,451529453568,218345406464
1453151,454681542656,218936184832
1458657,458480803840,219624091648
1464146,462465650688,219849592832
1469689,465211105280,220698005504
1475177,468879785984,220698005504
1480686,471871094784,222013554688
1486235,475410513920,222156886016
1491770,478680002560,223068430336
1497301,482599993344,223496265728
1502820,485799706624,224205942784
1508348,489346596864,224424648704
1513879,493357596672,225190207488
1519381,497211174912,225392906240
1524872,500544528384,226144055296
