timestamp_ms,phys_footprint,phys_footprint_peak
1,6782976,6782976
5409,148897792,148897792
10735,154140672,154140672
16058,161480704,161480704
21438,171966464,171966464
26800,184549376,184549376
32139,201326592,201326592
37513,242221056,242221056
42882,276824064,276824064
48249,350224384,354418688
53558,448790528,465567744
58895,678428672,678428672
64211,898629632,898629632
69542,1108344832,1135607808
74886,1404043264,1412431872
80250,1669332992,1691353088
85604,2112880640,2112880640
90940,2112880640,2146435072
96284,2334130176,2334130176
101642,2591031296,2591031296
106980,2807037952,2807037952
112319,3051356160,3068133376
117644,3487563776,3487563776
122980,3840933888,3845128192
128319,4176478208,4217372672
133659,4697620480,4700766208
138997,5121245184,5146411008
144358,5477761024,5481955328
149750,5610930176,5651824640
155104,5933891584,5952765952
160418,6114246656,6127878144
165786,6117392384,6162481152
171156,6240075776,6256852992
176481,6252658688,6361710592
181846,6267338752,6361710592
187196,6242172928,6361710592
192601,6251610112,6361710592
197979,6230638592,6361710592
203364,6370099200,6374293504
208726,6403653632,6467616768
214099,6449790976,6484393984
219475,5833228288,6486491136
224823,5807013888,6486491136
230212,5959057408,6486491136
235584,5977931776,6486491136
240926,6128926720,6486491136
246356,6221201408,6486491136
251720,6299844608,6486491136
257119,6244270080,6486491136
262499,6338641920,6486491136
267864,6373244928,6486491136
273235,6439305216,6486491136
278654,6404702208,6486491136
284028,6531579904,6537871360
289409,6410993664,6580862976
294795,6986661888,6989807616
300190,7525629952,7525629952
305533,7775191040,7815036928
310921,7923040256,7934574592
316306,8015314944,8019509248
321684,7403995136,8045723648
327069,7499415552,8045723648
332468,7577010176,8045723648
337850,7545552896,8045723648
343255,7724859392,8045723648
348649,7903117312,8045723648
354063,7929331712,8045723648
359452,8198815744,8211398656
364852,8225030144,8335130624
370275,7510949888,8349810688
375691,7542407168,8349810688
381106,6952058880,8349810688
386498,7464812544,8349810688
391882,6893338624,8349810688
397270,7184842752,8349810688
402700,7367294976,8349810688
408118,7365197824,8349810688
413540,6917455872,8349810688
418958,7040139264,8349810688
424367,7333740544,8349810688
429752,7364149248,8349810688
435162,7409238016,8349810688
440563,7539261440,8349810688
445947,7790919680,8349810688
451360,8156872704,8349810688
456757,8449425408,8486125568
462145,7803502592,8538554368
467569,8055160832,8538554368
472982,7587495936,8538554368
478379,7774142464,8538554368
483757,7849639936,8538554368
489168,7226785792,8538554368
494610,7545552896,8538554368
500044,7989100544,8538554368
505421,8263827456,8538554368
510819,8574205952,8574205952
516235,8763998208,8798601216
521643,8557428736,8931770368
527079,9427746816,9445572608
532519,7843348480,9613344768
537924,8336179200,9613344768
543335,8989442048,9613344768
548767,9536798720,9613344768
554210,9606004736,9701425152
559618,8755609600,9825157120
565029,8957984768,9825157120
570447,8283750400,9825157120
575875,8909750272,9825157120
581310,9445572608,9825157120
586687,9918480384,10003415040
592056,10077863936,10077863936
597468,10411311104,10411311104
602884,9630121984,10432282624
608305,9953083392,10432282624
613744,9582936064,10432282624
619150,9961472000,10432282624
624546,10011803648,10432282624
629951,9120514048,10432282624
635404,9588178944,10432282624
640867,9988734976,10432282624
646331,10160701440,10432282624
651796,9369026560,10432282624
657254,10204741632,10432282624
662664,9523167232,10432282624
668120,9860808704,10432282624
673542,9007267840,10432282624
678952,8114929664,10432282624
684406,8605663232,10432282624
689856,9444524032,10432282624
695259,10169090048,10432282624
700700,10737418240,10737418240
706137,10737418240,10737418240
711576,10222567424,10737418240
717039,10737418240,10737418240
722505,10737418240,10737418240
727926,10737418240,10737418240
733381,10340007936,10737418240
738821,10737418240,10737418240
744276,10345250816,10737418240
749820,10737418240,10737418240
755241,10737418240,10737418240
760663,10352590848,11811160064
766072,10737418240,11811160064
771506,10400825344,11811160064
776912,10737418240,11811160064
782350,10737418240,11811160064
787764,11811160064,11811160064
793204,10737418240,11811160064
798625,10737418240,11811160064
804033,10129244160,11811160064
809482,10312744960,11811160064
814935,10737418240,11811160064
820394,9593421824,11811160064
825818,10261364736,11811160064
831277,10737418240,11811160064
836704,10737418240,11811160064
842140,10412359680,11811160064
847572,10737418240,11811160064
853054,11811160064,11811160064
858485,11811160064,11811160064
863897,11811160064,12884901888
869263,10737418240,12884901888
874615,10737418240,12884901888
880015,9724493824,12884901888
885427,10248781824,12884901888
890904,10737418240,12884901888
896374,10737418240,12884901888
901890,11811160064,12884901888
907345,11811160064,12884901888
912790,10737418240,12884901888
918252,10737418240,12884901888
923666,11811160064,12884901888
929119,10737418240,12884901888
934564,11811160064,12884901888
939991,11811160064,12884901888
945446,11811160064,12884901888
950864,12884901888,12884901888
956335,12884901888,12884901888
961797,11811160064,12884901888
967246,12884901888,12884901888
972693,12884901888,12884901888
978165,12884901888,12884901888
983631,11811160064,12884901888
989080,12884901888,12884901888
994516,12884901888,12884901888
999971,11811160064,13958643712
1005437,12884901888,13958643712
1010908,12884901888,13958643712
1016358,13958643712,13958643712
1021816,12884901888,13958643712
1027272,12884901888,13958643712
1032730,12884901888,13958643712
1038181,13958643712,13958643712
1043651,13958643712,13958643712
1049092,10737418240,13958643712
1054519,11811160064,13958643712
1059948,11811160064,13958643712
1065407,12884901888,13958643712
1070836,13958643712,13958643712
1076305,13958643712,13958643712
1081768,12884901888,13958643712
1087198,12884901888,13958643712
1092673,11811160064,13958643712
1098259,11811160064,13958643712
1103758,12884901888,13958643712
1109280,11811160064,13958643712
1114796,12884901888,13958643712
1120309,12884901888,13958643712
1125834,13958643712,13958643712
1131417,12884901888,13958643712
1136928,12884901888,13958643712
1142368,12884901888,13958643712
1147857,13958643712,13958643712
1153377,12884901888,13958643712
1158884,12884901888,13958643712
1164378,13958643712,13958643712
1169942,12884901888,13958643712
1175450,12884901888,13958643712
1180988,12884901888,13958643712
1186529,13958643712,13958643712
1192076,12884901888,13958643712
1197614,12884901888,13958643712
1203123,13958643712,13958643712
1208658,13958643712,13958643712
1214118,12884901888,13958643712
1219609,11811160064,13958643712
1225341,11811160064,13958643712
1230775,11811160064,13958643712
1236251,12884901888,13958643712
1241768,13958643712,13958643712
1247351,13958643712,13958643712
1252855,13958643712,13958643712
1258344,13958643712,13958643712
1263888,15032385536,15032385536
1269450,15032385536,15032385536
1275006,15032385536,15032385536
1280532,13958643712,15032385536
1286044,13958643712,15032385536
1291569,12884901888,15032385536
1297090,12884901888,15032385536
1302650,13958643712,15032385536
1308181,13958643712,15032385536
1313785,13958643712,15032385536
1319317,13958643712,15032385536
1324915,13958643712,15032385536
1330422,13958643712,15032385536
1336014,15032385536,15032385536
1341608,15032385536,15032385536
1347246,15032385536,15032385536
1352827,15032385536,16106127360
1358393,15032385536,16106127360
1363963,15032385536,16106127360
1369537,13958643712,16106127360
1375135,15032385536,16106127360
1380737,15032385536,16106127360
1386341,16106127360,16106127360
1391956,16106127360,16106127360
1397483,16106127360,16106127360
1403037,17179869184,17179869184
1408569,17179869184,17179869184
1414105,16106127360,17179869184
1419676,16106127360,17179869184
1425284,17179869184,17179869184
1430879,15032385536,17179869184
1436434,16106127360,17179869184
1442039,16106127360,17179869184
1447568,16106127360,17179869184
1453151,15032385536,17179869184
1458657,15032385536,17179869184
1464146,16106127360,17179869184
1469689,13958643712,17179869184
1475177,15032385536,17179869184
1480686,15032385536,17179869184
1486235,16106127360,17179869184
1491770,13958643712,17179869184
1497301,15032385536,17179869184
1502820,15032385536,17179869184
1508348,15032385536,17179869184
1513879,16106127360,17179869184
1519381,13958643712,17179869184
1524872,15032385536,17179869184
1530404,15032385536,17179869184
1535997,15032385536,17179869184
1541566,13958643712,17179869184
1547162,15032385536,17179869184
1552775,15032385536,17179869184
1558332,16106127360,17179869184
1563865,15032385536,17179869184
1569383,16106127360,17179869184
1574900,16106127360,17179869184
1580527,15032385536,17179869184
1586107,15032385536,17179869184
1591615,16106127360,17179869184
1597155,16106127360,17179869184
1602696,15032385536,17179869184
1608232,15032385536,17179869184
1613764,13958643712,17179869184
1619308,15032385536,17179869184
1624860,15032385536,17179869184
1630391,13958643712,17179869184
1635942,13958643712,17179869184
1641489,13958643712,17179869184
1647049,15032385536,17179869184
1652620,13958643712,17179869184
1658148,13958643712,17179869184
1663737,15032385536,17179869184
1669265,15032385536,17179869184
1674855,15032385536,17179869184
1680418,15032385536,17179869184
1685980,16106127360,17179869184
1691545,13958643712,17179869184
1697044,15032385536,17179869184
1702640,13958643712,17179869184
1708177,13958643712,17179869184
1713778,15032385536,17179869184
1719325,16106127360,17179869184
1724846,16106127360,17179869184
1730417,13958643712,17179869184
1735982,13958643712,17179869184
1741539,15032385536,17179869184
1747170,15032385536,17179869184
1752779,13958643712,17179869184
1758366,15032385536,17179869184
1763860,15032385536,17179869184
1769319,12884901888,17179869184
1774800,12884901888,17179869184
1780482,12884901888,17179869184
1785975,12884901888,17179869184
1791491,12884901888,17179869184
1797051,13958643712,17179869184
1802582,13958643712,17179869184
1808149,15032385536,17179869184
1813713,15032385536,17179869184
1819239,15032385536,17179869184
1824794,15032385536,17179869184
1830373,13958643712,17179869184
1835934,15032385536,17179869184
1841483,15032385536,17179869184
1847066,15032385536,17179869184
