timestamp_ms,bytes_read,bytes_written
1,136003584,2760704
5454,142245888,127369216
10815,150163456,310923264
16174,150167552,318947328
21543,288698368,411955200
26874,293195776,537108480
32196,432283648,623702016
37520,445022208,807129088
42843,448536576,833822720
48215,593412096,1109532672
53552,596267008,1185538048
58840,739037184,1411031040
64163,739041280,1423663104
69545,878612480,1708392448
74814,878620672,1720672256
80128,1080328192,1959051264
85471,1084182528,1973944320
90800,1220284416,2375356416
96144,1221017600,2424913920
101491,1357193216,2707820544
106834,1357201408,2713432064
112186,1375678464,2894643200
117524,1523032064,3105222656
122923,1523044352,3116707840
128271,1523273728,3139866624
133601,1751064576,3436216320
138947,1751080960,3436281856
144322,1890725888,3514507264
149650,1892200448,3533926400
155029,2314674176,4016943104
160364,2314678272,4017291264
165750,2453131264,4289728512
171061,2453209088,4443947008
176370,2774331392,4847632384
181744,2774372352,4863070208
187071,2910023680,4937555968
192448,3044564992,5031927808
197824,3393949696,5445021696
203254,3393953792,5460045824
208603,3528433664,5557211136
213976,3528761344,5660487680
219356,4047847424,6126227456
224701,4052217856,6127067136
230015,4188938240,6227472384
235379,4324610048,6332932096
240730,4742991872,6790168576
246068,4745584640,6939639808
251462,4749283328,7140335616
256805,4885311488,7457583104
262181,5473316864,7986081792
267546,5473366016,8001826816
272899,5473976320,8099540992
278238,5609209856,8519696384
283585,5803106304,8722984960
288928,5803106304,8737595392
294286,5937766400,8850731008
299634,6072344576,8958148608
304978,6303948800,9319772160
310390,6312157184,9329266688
315784,6596517888,9453727744
321164,6732210176,9605984256
326491,7000891392,10173485056
331860,7003815936,10177478656
337197,7278002176,10477551616
342528,7278325760,10514186240
347895,7735017472,10959167488
353266,7735070720,10959704064
358621,7869595648,11089629184
363971,8003936256,11189805056
369351,8138215424,11356831744
374693,8138219520,11357298688
380087,8659013632,11745722368
385432,8927412224,11921907712
390814,8927645696,12037074944
396185,8936882176,12056850432
401570,9071288320,12191420416
406908,9499529216,12912373760
412326,9923776512,13565136896
417705,9926852608,13569085440
423051,10066051072,13930979328
428405,10200199168,13969633280
433763,10702254080,14665158656
439119,10702303232,14666674176
444498,11105595392,14856646656
449843,11715674112,16157675520
455186,11738685440,16273133568
460517,11738705920,16314220544
465851,11873144832,16430415872
471190,12141838336,16956760064
476531,12599255040,17821061120
481877,12609163264,17831952384
487221,12743856128,17961230336
492569,13016178688,18131308544
497916,13524901888,18773340160
503252,13527986176,18777194496
508592,13532680192,19148230656
513968,13667774464,19250421760
519305,14259560448,19777118208
524630,14259777536,19793612800
530012,14264979456,19913297920
535402,14535688192,20001845248
540778,15022415872,20642201600
546151,15030886400,20686630912
551493,15381647360,20858241024
556867,16068583424,21691887616
562280,16099704832,21780275200
567657,16245743616,21890875392
573008,16245751808,21914923008
578340,16876924928,22497087488
583728,17014149120,22682492928
589120,17164808192,23019208704
594548,17296912384,23252758528
599868,18075533312,23781556224
605272,18211885056,23976820736
610683,18352197632,24017932288
616071,18357223424,24114094080
621427,18761052160,24480227328
626833,19141668864,24898416640
632273,19142111232,24899489792
637602,19372384256,25344925696
642959,19781914624,25539686400
648317,20264386560,26134388736
653717,20275101696,26145779712
659077,20588683264,27262099456
664480,20857700352,27691012096
669879,20860866560,27694858240
675220,20999294976,27845144576
680622,21483393024,28379619328
685961,22122213376,28821180416
691363,22438887424,29114499072
696707,22646489088,29312991232
702095,23207264256,30312439808
707464,23225806848,30407323648
712898,23226351616,30458572800
718258,23763013632,30854291456
723645,24115089408,31483146240
729021,24126808064,31495602176
734398,24681566208,32427986944
739983,24949932032,32587329536
745336,24949944320,32587874304
750678,25730207744,33019613184
756074,26293030912,35009433600
761473,26293927936,35349741568
766826,26293989376,35350618112
772175,26702848000,35949936640
777552,27422822400,36685246464
782920,27423363072,36686290944
788290,27574386688,36940464128
793722,28328005632,37607055360
799142,28767657984,37964718080
804546,28779339776,38027964416
809925,29469384704,38872801280
815353,29603520512,39059607552
820728,29608271872,39065620480
826140,30080503808,39441887232
831608,30736707584,40194342912
837015,30737399808,40472739840
842399,30992990208,40532242432
847769,31546175488,41266192384
853189,32070864896,42138075136
858578,32072286208,42168549376
863946,32975224832,42920890368
869309,33442832384,43401580544
874727,33465131008,43442896896
880110,33788760064,43501895680
885516,34402193408,44213776384
890936,34836799488,44800421888
896289,34854920192,44832030720
901615,35474980864,45234245632
907007,36002197504,46042234880
912409,36002476032,46270115840
917761,36287516672,46325944320
923152,36799209472,46847234048
928590,37398237184,47526764544
933979,37469118464,47654080512
939402,37892354048,47920615424
944799,38231449600,48608522240
950202,38377545728,48761905152
955636,38788186112,48835813376
961026,39489683456,49455083520
966413,39987073024,49946165248
971806,40025518080,50032648192
977182,40453042176,50593861632
982566,41056268288,51444686848
988015,41269198848,51750834176
993369,41645473792,52079816704
998771,42312167424,52713938944
1004220,42460676096,53139718144
1009605,42486329344,53142478848
1014978,44004282368,54048182272
1020351,44483559424,56153219072
1025829,44688633856,56409264128
1031216,45077417984,56488710144
1036588,45797732352,57122918400
1042004,45944291328,57683783680
1047385,45961142272,57690632192
1052775,46727233536,59272273920
1058197,47278301184,60049063936
1063613,47393288192,60289437696
1068983,47897763840,60537253888
1074391,48434352128,61090181120
1079811,48749043712,61594431488
1085164,49062973440,61673439232
1090553,50016759808,62203203584
1095945,50499289088,62746120192
1101396,50569850880,62861099008
1106792,50991955968,63160836096
1112179,51331674112,63510507520
1117636,51656925184,64200503296
1123031,51658715136,64423358464
1128383,52654927872,64500101120
1133775,53651779584,65246289920
1139176,54145351680,66233032704
1144597,54440706048,66735443968
1149973,55333969920,67007856640
1155358,56056754176,67498930176
1160784,56234229760,67795460096
1166202,56261656576,67802718208
1171589,56984072192,68274171904
1176986,57687580672,68848017408
1182380,57977892864,69421641728
1187806,58582978560,69529153536
1193231,59521486848,69992845312
1198661,59733356544,70757388288
1204020,59733356544,70759878656
1209404,60270387200,71042416640
1214770,61068738560,71611060224
1220141,61410488320,72102391808
1225531,61584302080,72193216512
1230913,62195003392,72589836288
1236465,62668992512,73174593536
1241858,62719598592,73247113216
1247259,63373647872,73518723072
1252649,64146141184,74113458176
1258045,64500813824,74967105536
1263475,64512409600,74989502464
1268830,65132720128,75459878912
1274240,65742675968,76203868160
1279675,65834622976,76525785088
1285010,66158571520,76623933440
1290410,68281597952,77136257024
1295788,69089849344,80063463424
1301247,69440606208,80565460992
1306594,69440888832,80611008512
1311994,70209658880,81068535808
1317377,70813986816,81686597632
1322859,70967988224,81836986368
1328248,71430279168,81932935168
1333701,72210104320,82948198400
1339152,72842440704,83890671616
1344576,73049927680,84221665280
1349938,73800687616,84313227264
1355344,74415190016,84750696448
1360782,74959859712,85244272640
1366108,75217588224,85892296704
1371437,75811622912,86261002240
1376831,76854288384,87020593152
1382429,78257074176,88070234112
1387869,78901444608,89206697984
1393243,78949584896,89329688576
1398645,79671336960,89833115648
1404090,79681445888,90050895872
1409485,79681523712,90051956736
1414876,80162291712,90236063744
1420256,80672940032,90669940736
1425640,80672948224,90669965312
1431048,80917446656,90800066560
1436462,81991856128,91739738112
1441881,83220066304,92795351040
1447294,83643326464,93751087104
1452648,83768537088,93859758080
1458039,84383612928,94039515136
1463488,84602310656,94579269632
1468914,84887797760,95051436032
1474304,85263163392,95672844288
1479774,86137171968,96276340736
1485216,87022055424,97080844288
1490631,87302062080,97535709184
1496027,88385146880,97908674560
1501427,89567772672,99007131648
1506872,90353713152,100215119872
1512321,90867556352,101016387584
1517706,91566526464,101148282880
1523085,92550475776,101719150592
1528467,93642194944,102157598720
1533886,93709291520,102817251328
1539329,93765992448,102963494912
1544857,94442143744,103307264000
1550301,94445445120,103344259072
1555689,95112445952,103368204288
1561060,96829820928,104542715904
1566497,98061553664,105103556608
1571963,98732199936,105863565312
1577412,98902151168,106054823936
1582804,99558727680,106161856512
1588208,99959513088,106946277376
1593616,100649979904,107431583744
1598998,100654018560,107705393152
1604364,101112348672,107838279680
1609780,102567497728,108496556032
1615152,104767819776,111369310208
1620559,105985249280,113069268992
1626004,106504642560,113740468224
1631412,106585907200,113824411648
1636793,107830652928,113952296960
1642241,108160704512,114807042048
1647627,108183924736,114838368256
1652997,109446156288,115217412096
1658401,109949874176,116022423552
1663781,109970161664,116061458432
1669150,111356637184,116459003904
1674539,111723634688,116931080192
1679924,111855431680,117151358976
1685361,112880910336,117419708416
1690779,113363177472,117998882816
1696191,113760940032,118394478592
1701636,114954047488,118933614592
1707050,115345170432,119781777408
1712446,115995971584,120107782144
1717853,116577775616,120522551296
1723297,117048766464,121461993472
1728723,118288068608,121773613056
1734071,120240746496,124086714368
1739450,121653338112,124397203456
1744868,122151931904,125175492608
1750249,122209042432,125323300864
1755600,123887333376,125727744000
1761007,124213477376,126189682688
1766407,124263280640,126260035584
1771790,125491032064,126678679552
1777246,126034317312,127385833472
1782648,126047350784,127427850240
1788037,127246839808,127826100224
1793421,127256219648,128259502080
1798816,127291088896,128389783552
1804330,128167555072,128675106816
1809802,128708415488,129614340096
1815201,128903966720,129835352064
1820604,130313924608,130171006976
1826014,130536837120,130556284928
1831436,130543525888,130567225344
1836796,131903205376,130732400640
1842210,132090863616,131330097152
1847566,132174032896,131753144320
1852982,132512477184,131958161408
1858389,133314093056,132405506048
1863858,133795815424,133618708480
1869208,134135574528,133775396864
1874642,135361036288,134102663168
1880085,135736520704,134621843456
1885466,135814270976,134753300480
1890866,137047359488,135225458688
1896261,137361281024,135678140416
1901658,137524912128,135903977472
1907054,138567389184,136239632384
1912456,138997821440,136960188416
1917834,138997878784,137024966656
1923177,140471508992,137180246016
1928670,140791795712,138473226240
1934118,140978888704,138820308992
1939503,142529077248,139038810112
1945016,142921256960,139823575040
1950439,143210098688,140363984896
1955823,143978070016,140555579392
1961188,144566013952,141070983168
1966670,144772014080,141291020288
1972052,145090797568,141450887168
1977438,146165096448,141904957440
1982905,146753032192,142936883200
1988439,147209252864,143166275584
1993917,147872403456,143529418752
1999538,148582920192,145172029440
2005061,149201883136,145474936832
2010567,150633299968,145802203136
2016301,150742802432,146311675904
2021787,150816215040,146454495232
2027253,152187854848,146798538752
2032833,152521809920,147286704128
2038366,152544792576,147297656832
2043855,153931460608,147789967360
2049358,154673586176,148855672832
2054877,154783752192,149156343808
2060300,156013568000,149649506304
2065904,156714164224,150889975808
2071601,156918751232,151289327616
2077226,158469275648,151641759744
2082716,158569103360,152229163008
2088126,158570307584,152235622400
2093553,159544279040,152400461824
2099311,159769911296,153133871104
2104865,159854940160,153259012096
2110281,160849305600,153439072256
2115767,161479462912,154548109312
2121524,161873121280,155200065536
2126911,163039186944,155348533248
2132421,163421962240,156153868288
2137939,163915649024,156921651200
2143473,165099012096,157193166848
2148982,165855555584,157644951552
2154514,165931585536,158074748928
2160080,166182424576,158245675008
2165553,167336792064,158614884352
2171084,167651442688,159101779968
2176495,167704625152,159284637696
2182026,168661356544,159653847040
2187558,169492119552,160827326464
2193094,169723068416,161237004288
2198526,171422363648,161766866944
2204149,171810611200,162836611072
2209727,172171628544,163290501120
2215215,175100473344,163290513408
2220676,177077317632,163818995712
2226104,178960994304,168814616576
2231600,180518383616,169217380352
2237087,180828143616,169891438592
2242725,180858343424,169982738432
2248180,183361421312,170164953088
2253826,183908237312,170874290176
2259368,184071376896,171061399552
2264930,185362018304,171247534080
