timestamp_ms,phys_footprint,phys_footprint_peak
1,6586368,6586368
5454,197132288,197132288
10815,294649856,325058560
16174,300941312,325058560
21543,298844160,325058560
26874,377487360,377487360
32196,346030080,377487360
37520,419430400,419430400
42843,434110464,434110464
48215,472907776,472907776
53552,535822336,535822336
58840,603979776,603979776
64163,564133888,603979776
69545,519045120,603979776
74814,522190848,603979776
80128,594542592,603979776
85471,494927872,603979776
90800,614465536,617611264
96144,521142272,617611264
101491,752877568,752877568
106834,624951296,752877568
112186,651165696,752877568
117524,682622976,752877568
122923,562036736,752877568
128271,587202560,752877568
133601,688914432,752877568
138947,688914432,752877568
144322,845152256,845152256
149650,695205888,845152256
155029,1027604480,1027604480
160364,947912704,1027604480
165750,1251999744,1251999744
171061,1109393408,1251999744
176370,1071644672,1251999744
181744,1075838976,1251999744
187071,1110441984,1251999744
192448,1000341504,1251999744
197824,1090519040,1251999744
203254,968884224,1251999744
208603,1068498944,1251999744
213976,1001390080,1251999744
219356,1189085184,1251999744
224701,1055916032,1251999744
230015,1116733440,1251999744
235379,1007681536,1251999744
240730,1088421888,1251999744
246068,1012924416,1251999744
251462,1285554176,1285554176
256805,1266679808,1285554176
262181,1407188992,1409286144
267546,1256194048,1409286144
272899,1328545792,1409286144
278238,1242562560,1409286144
283585,1308622848,1409286144
288928,1180696576,1409286144
294286,1326448640,1409286144
299634,1303379968,1409286144
304978,1416626176,1416626176
310390,1289748480,1416626176
315784,1486880768,1486880768
321164,1417674752,1486880768
326491,1519386624,1527775232
331860,1387266048,1527775232
337197,1907359744,1907359744
342528,1780482048,1907359744
347895,1983905792,1996488704
353266,1893728256,1996488704
358621,2056257536,2060451840
363971,1984954368,2060451840
369351,1991245824,2060451840
374693,1809842176,2060451840
380087,2004877312,2063597568
385432,2092957696,2092957696
390814,2178940928,2186280960
396185,1966080000,2186280960
401570,2133852160,2186280960
406908,1992294400,2186280960
412326,2169503744,2192572416
417705,1918894080,2192572416
423051,2644508672,2648702976
428405,2533359616,2648702976
433763,2816475136,2829058048
439119,2663383040,2829058048
444498,2866806784,2872049664
449843,3047161856,3062890496
455186,3058696192,3081764864
460517,2840592384,3081764864
465851,2908749824,3081764864
471190,2782920704,3081764864
476531,2856321024,3081764864
481877,2659188736,3081764864
487221,3028287488,3081764864
492569,2937061376,3081764864
497916,3144679424,3150970880
503252,3144679424,3150970880
508592,3210739712,3210739712
513968,3184525312,3210739712
519305,3412066304,3412066304
524630,3416260608,3416260608
530012,3457155072,3460300800
535402,3266314240,3460300800
540778,3500146688,3504340992
546151,3499098112,3504340992
551493,3639607296,3672113152
556867,3667918848,3817865216
562280,3672113152,3817865216
567657,3713007616,3817865216
573008,3713007616,3817865216
578340,3566206976,3817865216
583728,3587178496,3817865216
589120,3446669312,3817865216
594548,3611295744,3817865216
599868,4012900352,4025483264
605272,3779067904,4025483264
610683,3807379456,4025483264
616071,3896508416,4025483264
621427,3897556992,4025483264
626833,3976200192,4025483264
632273,3754950656,4025483264
637602,4223664128,4223664128
642959,4331667456,4332716032
648317,4499439616,4541382656
653717,4537188352,4541382656
659077,4741660672,4741660672
664480,4553965568,4832886784
669879,4553965568,4832886784
675220,4599054336,4832886784
680622,4804575232,4832886784
685961,4958715904,4992270336
691363,4997513216,4999610368
696707,5005901824,5044699136
702095,5357174784,5363466240
707464,5361369088,5365563392
712898,5415895040,5415895040
718258,5707399168,5707399168
723645,5301600256,5812256768
729021,5301600256,5812256768
734398,5919211520,5919211520
739983,6001000448,6004146176
745336,6001000448,6004146176
750678,6288310272,6288310272
756074,6638534656,6638534656
761473,6765412352,6769606656
766826,6765412352,6769606656
772175,6564085760,7359954944
777552,6659506176,7359954944
782920,6659506176,7359954944
788290,6727663616,7359954944
793722,6358564864,7359954944
799142,6431965184,7359954944
804546,6476005376,7359954944
809925,6625951744,7359954944
815353,6617563136,7359954944
820728,6617563136,7359954944
826140,6198132736,7359954944
831608,6271533056,7359954944
837015,6305087488,7359954944
842399,6332350464,7359954944
847769,6104809472,7359954944
853189,6159335424,7359954944
858578,6163529728,7359954944
863946,5818548224,7359954944
869309,6598688768,7359954944
874727,6602883072,7359954944
880110,6656360448,7359954944
885516,6906970112,7359954944
890936,7151288320,7359954944
896289,7159676928,7359954944
901615,7200571392,7359954944
907007,6700400640,7359954944
912409,6721372160,7359954944
917761,6191841280,7359954944
923152,6921650176,7359954944
928590,7309623296,7359954944
933979,6597640192,7359954944
939402,6882852864,7359954944
944799,6957301760,7359954944
950202,6963593216,7359954944
955636,7019167744,7359954944
961026,7328497664,7359954944
966413,6934233088,7395606528
971806,6977224704,7395606528
977182,7356809216,7395606528
982566,7607418880,7630487552
988015,7622098944,7630487552
993369,7763656704,7766802432
998771,7842299904,7854882816
1004220,7854882816,7859077120
1009605,7903117312,7903117312
1014978,8323596288,8327790592
1020351,7862222848,8327790592
1025829,7883194368,8327790592
1031216,7911505920,8327790592
1036588,7698644992,8327790592
1042004,7856979968,8327790592
1047385,7856979968,8327790592
1052775,7996440576,8327790592
1058197,7992246272,8327790592
1063613,8024752128,8327790592
1068983,8486125568,8486125568
1074391,8661237760,8675917824
1079811,7795113984,8675917824
1085164,8040480768,8675917824
1090553,8507097088,8675917824
1095945,8585740288,8675917824
1101396,8594128896,8675917824
1106792,7978614784,8675917824
1112179,7992246272,8675917824
1117636,8433696768,8675917824
1123031,8544845824,8675917824
1128383,8774483968,8774483968
1133775,9094299648,9097445376
1139176,9205448704,9207545856
1144597,9317646336,9317646336
1149973,8986296320,9317646336
1155358,9258926080,9317646336
1160784,8451522560,9374269440
1166202,8451522560,9374269440
1171589,8213495808,9374269440
1176986,8688500736,9374269440
1182380,8663334912,9374269440
1187806,7876902912,9374269440
1193231,8182038528,9374269440
1198661,8708423680,9374269440
1204020,8708423680,9374269440
1209404,8351907840,9374269440
1214770,8651800576,9374269440
1220141,8669626368,9374269440
1225531,8743026688,9374269440
1230913,8083472384,9374269440
1236465,8137998336,9374269440
1241858,8154775552,9374269440
1247259,7746879488,9374269440
1252649,8113881088,9374269440
1258045,8122269696,9374269440
1263475,8160018432,9374269440
1268830,7642021888,9374269440
1274240,8145338368,9374269440
1279675,8174698496,9374269440
1285010,8294236160,9374269440
1290410,7411335168,9374269440
1295788,7596933120,9374269440
1301247,7961837568,9374269440
1306594,7966031872,9374269440
1311994,7472152576,9374269440
1317377,8153726976,9374269440
1322859,8154775552,9374269440
1328248,8221884416,9374269440
1333701,7762608128,9374269440
1339152,8209301504,9374269440
1344576,8266973184,9374269440
1349938,7709130752,9374269440
1355344,8423211008,9374269440
1360782,8905555968,9374269440
1366108,8908701696,9374269440
1371437,8075083776,9374269440
1376831,8719958016,9374269440
1382429,8757706752,9374269440
1387869,8810135552,9374269440
1393243,8941207552,9374269440
1398645,8848932864,9374269440
1404090,9682550784,9703522304
1409485,9682550784,9703522304
1414876,9914286080,9916383232
1420256,8755609600,10246684672
1425640,8755609600,10246684672
1431048,7507804160,10246684672
1436462,8109686784,10246684672
1441881,9898557440,10246684672
1447294,10021240832,10246684672
1452648,8852078592,10246684672
1458039,9210691584,10246684672
1463488,9371123712,10246684672
1468914,9415163904,10246684672
1474304,9546235904,10246684672
1479774,6894387200,10246684672
1485216,7431258112,10246684672
1490631,7365197824,10246684672
1496027,7542407168,10246684672
1501427,8668577792,10246684672
1506872,9295626240,10246684672
1512321,8576303104,10246684672
1517706,8959033344,10246684672
1523085,8468299776,10246684672
1528467,9231663104,10246684672
1533886,9265217536,10246684672
1539329,9371123712,10246684672
1544857,8727298048,10246684672
1550301,8744075264,10246684672
1555689,7854882816,10246684672
1561060,7022313472,10246684672
1566497,8127512576,10246684672
1571963,8706326528,10246684672
1577412,8710520832,10246684672
1582804,8034189312,10246684672
1588208,8842641408,10246684672
1593616,9375318016,10246684672
1598998,9455009792,10246684672
1604364,8485076992,10246684672
1609780,9374269440,10246684672
1615152,8604614656,10246684672
1620559,9090105344,10246684672
1626004,8842641408,10246684672
1631412,8840544256,10246684672
