timestamp_ms,bytes_read,bytes_written
0,172081152,1671168
5307,177860608,148033536
10627,183091200,389484544
15921,478408704,876900352
21195,913620992,1746419712
26480,1185873920,2839150592
31769,1722880000,4033884160
37059,2394361856,5197950976
42355,3065077760,6169038848
47637,3618279424,7624314880
52935,4311240704,9056980992
58220,5160476672,10032816128
63495,5988470784,10838654976
68796,7178285056,11856039936
74071,8168308736,13339361280
79357,9437433856,14382575616
84653,10637668352,16185872384
89974,11595907072,17599459328
95276,12566740992,18695852032
100589,13728649216,19983040512
105904,14954631168,21007060992
111226,16060624896,21878157312
116529,17175412736,22973280256
121856,18377498624,24012533760
127158,19503665152,25649389568
132481,20571332608,26448289792
137801,21608009728,27411034112
143106,22789828608,28538023936
148423,24385216512,30280179712
153685,25955631104,31667904512
159009,27132219392,32398811136
164338,28661813248,33746780160
169635,30027399168,35089899520
174970,32331075584,36236955648
180282,33932845056,36957769728
185609,35047833600,37708083200
190911,36248285184,38599110656
196242,37476687872,39563374592
201524,38268547072,40239439872
206855,39593259008,41150586880
212185,40532553728,42240704512
217490,41538871296,43003695104
222815,42992082944,44179243008
228137,44076507136,45152399360
233458,46156947456,46000930816
238719,47448420352,47870074880
244010,49156341760,49064431616
249319,51290902528,50216353792
254613,53425553408,51614855168
259906,55338237952,52683767808
265193,56784531456,53227270144
270507,57935724544,54237159424
275812,60459835392,55330017280
281100,61905043456,56126021632
286415,63435550720,57169793024
291747,64969175040,57646174208
297070,66461843456,58868957184
302402,68846694400,60020637696
307812,70616584192,60806807552
313216,72653950976,62029066240
318620,74885984256,62836072448
324020,76188688384,63599575040
329403,78231552000,65001275392
334750,80634195968,65389064192
340053,82278825984,67880742912
345413,84368347136,68504125440
350786,86752067584,69986013184
356180,89403723776,70794412032
361541,91610652672,71494430720
366957,93525344256,72561741824
372362,95916957696,73413648384
377747,97323663360,74203897856
383173,99109019648,75277127680
388601,101884063744,76230615040
393965,103762575360,76762025984
399388,105145372672,77915938816
404810,106517094400,78770978816
410231,109048967168,79728050176
415627,111391588352,80927629312
420991,113691910144,81987407872
426396,115893547008,82855399424
431802,118587473920,83525521408
437189,120744796160,84328828928
442537,122715328512,85718364160
447900,125170606080,86315208704
453282,127661207552,86899163136
458642,129186635776,87193800704
464045,131234406400,88093040640
469347,134343360512,89187229696
474699,135322234880,90110042112
480033,136667164672,92579078144
485387,140934520832,92780683264
490782,143230193664,93537169408
496136,145141039104,94136168448
501529,147486642176,95196504064
506948,149898993664,96433979392
512346,152893415424,97439793152
517718,155050545152,98013786112
523107,157801701376,98808999936
528407,160628551680,101146447872
533779,163145781248,101666443264
539155,166119669760,102745407488
544549,169271410688,103543816192
