timestamp_ms,bytes_read,bytes_written
0,57241600,6848512
5365,142110720,39403520
10707,143585280,78512128
16051,145158144,114057216
21380,146829312,168214528
26737,148434944,218980352
32108,149389312,290533376
37475,151879680,396337152
42826,291659776,563036160
48155,299368448,778473472
53495,595181568,1201930240
58815,746586112,1647362048
64172,1019826176,2217410560
69496,1154703360,2786996224
74826,1289228288,3327565824
80238,1557557248,3962847232
85568,2093985792,4577300480
90888,2496589824,5356748800
96216,2764726272,6006865920
101562,3301289984,6714949632
106870,3569631232,7616516096
112200,4023431168,8742690816
117529,4509347840,9373802496
122843,4960296960,10040045568
128174,5582229504,10738634752
133508,6137114624,11598262272
138848,6951075840,12393250816
144209,7639502848,13512671232
149552,8312803328,14149844992
154899,9248985088,15887220736
160244,9979670528,16945934336
165597,10594971648,17806909440
170961,11387084800,18633175040
176329,12137164800,19433177088
181689,12911529984,20243980288
187062,13794873344,21101248512
192389,14677889024,21774508032
197746,15475249152,22478241792
203133,16201453568,23221202944
208460,17074475008,23994052608
213822,17915568128,25375051776
219177,18755678208,26187534336
224526,19743309824,27073724416
229880,20580896768,28187607040
235229,21441429504,28829831168
240569,22304157696,30495985664
245993,23053647872,32596258816
251438,24078012416,33242890240
256882,24937328640,34378981376
262290,25777516544,35455778816
267761,26816548864,36599111680
273238,27680428032,37424570368
278675,28781117440,38034989056
284163,29718282240,38927069184
289665,30787682304,39456215040
295077,31694970880,40465842176
300464,32435466240,41068273664
305915,33552527360,41983135744
311336,34146451456,42566422528
316838,35153563648,43440971776
322341,36006465536,44419198976
327825,37140856832,45457170432
333250,38039969792,46370701312
338765,39061147648,47068708864
344203,39803740160,49524269056
349647,40999403520,50775351296
355117,41617670144,52383129600
360567,42786877440,53592809472
366052,43893596160,54342922240
371554,44447703040,55040299008
376995,45630951424,56269897728
382509,46645030912,57072611328
387980,47702114304,58210799616
393384,48483950592,58550767616
398858,49411469312,59607302144
404333,50712227840,60774596608
409802,51597492224,61625466880
415244,52515508224,62711480320
420754,53518827520,63369928704
426228,54662213632,64084156416
431748,55674974208,65371725824
437223,57088004096,68468613120
442705,58251730944,69268357120
448170,59269726208,70424674304
453653,60509114368,71353761792
459119,61386375168,72089579520
464603,62374977536,73342033920
470067,63493439488,74887315456
475508,65209946112,75547058176
480966,66090487808,76237950976
486436,67838300160,77057134592
491900,69176446976,77429780480
497372,69797486592,78426935296
502874,70727798784,79563366400
508414,71900487680,80766418944
513894,73534021632,81822294016
519385,74723684352,82761007104
524854,76367568896,83174719488
530329,77465387008,83877785600
535834,79582597120,85846384640
541322,80443424768,87014944768
546749,81540067328,87639236608
552211,82989404160,88512315392
557704,84955893760,89635123200
563172,85943533568,93757530112
568638,87097622528,94344601600
574177,88747945984,95259697152
579705,89896648704,96397213696
585192,91098918912,97563701248
590696,92542369792,98631249920
596217,94187196416,99300028416
601673,96252399616,102257192960
607099,97438699520,102744723456
612587,99107770368,103810342912
618064,101421019136,104922271744
623565,102859649024,105492779008
629042,104001282048,106407350272
634528,105191718912,107084222464
639958,106540904448,107652771840
645401,107695202304,108092112896
650858,109017587712,108976107520
656343,110348476416,110307192832
661836,112035082240,111534452736
667306,113619927040,112470429696
672760,114661507072,113324490752
678245,115884765184,114109935616
683708,117340172288,115188154368
689168,118752055296,115811229696
694591,120220635136,116434952192
700120,121445072896,117565431808
705625,122852225024,118865133568
711129,124042506240,119722639360
716584,125601386496,120418361344
722076,127058423808,121356980224
727565,128075952128,122368253952
733073,129356845056,123584720896
738516,131023618048,124566282240
743949,132965613568,125755715584
749410,134320930816,127147843584
754844,136196853760,128194088960
760343,138396426240,129193459712
765789,139846828032,129488068608
771250,141954478080,130219188224
776776,145152155648,131235401728
782212,146843213824,136347471872
787605,148651634688,136788635648
793081,150564798464,138111660032
798567,152317894656,139039248384
804040,154015125504,139746304000
809562,155842490368,140717109248
815067,157861302272,141424865280
820608,159867670528,142849187840
826062,162008109056,143849529344
831577,164002881536,144561827840
837016,165746855936,145400344576
842490,167117463552,146175045632
847948,169185423360,147539988480
853453,171157782528,148387942400
858866,172464271360,149445505024
864345,173854834688,150790336512
869857,176540151808,151908896768
875298,178715238400,152831762432
880780,181215473664,153769926656
886231,183553810432,154825719808
891751,185485230080,155794796544
897224,187519332352,156632780800
902669,189716946944,158053818368
908161,191960530944,159312687104
913644,194269454336,160221925376
919075,197470760960,161286549504
924479,198965846016,162277081088
929873,201050312704,162470854656
935320,202369822720,163821453312
940713,203981787136,164849479680
946109,205449031680,165828853760
951479,207750643712,166192906240
956887,210428960768,167262109696
962273,213119377408,167676985344
967637,215085916160,170011172864
973055,216646516736,171107913728
978469,219033726976,171986653184
983882,221333278720,173249269760
989282,223080529920,174548185088
994694,226125316096,174859337728
1000161,228206940160,176207478784
1005539,230431420416,177150939136
1010943,233220395008,178246037504
1016320,235684208640,179084881920
1021717,237652676608,180157759488
1027112,239817011200,180961320960
1032458,241805844480,182533038080
1037843,244538781696,183604203520
1043191,247480238080,183773331456
1048565,250164887552,184523804672
1053961,252801712128,185538265088
1059356,255320203264,185808904192
1064729,258184310784,186516090880
1070069,261952548864,186793537536
1075419,263506079744,194075205632
1080749,265447571456,194259697664
1086146,268282826752,194909253632
1091518,270053724160,195202482176
1096902,272635432960,195845021696
1102290,275001929728,196696289280
1107668,277541793792,196895453184
1113054,279238721536,198101250048
1118427,281415639040,198865088512
1123778,284034310144,199127101440
1129181,286230147072,199622148096
1134543,288374374400,199653679104
1139884,289831608320,204140544000
1145262,292052135936,204236939264
1150683,294729498624,205286596608
1156087,297105997824,206334525440
1161460,300167561216,206837338112
1166861,302254419968,207998976000
1172248,304864485376,208487124992
1177619,307246063616,208738807808
1183002,309183807488,209626669056
1188407,311870779392,210169810944
1193842,314152681472,211390976000
1199218,315427766272,212159451136
1204630,318468784128,213118074880
1210009,320371388416,213907361792
1215414,322979278848,214135074816
1220806,325054623744,215158054912
1226214,327236829184,215329804288
1231587,328850870272,216526295040
1236969,330014236672,217215033344
1242384,332121903104,217948434432
1247804,334134190080,218790268928
1253201,336572981248,219281842176
1258626,338712870912,220306984960
1264023,340808138752,220414525440
1269460,342566588416,221814112256
1274875,344676376576,222696493056
1280243,346560581632,222901227520
1285622,348181630976,223678304256
1291050,350578331648,224410427392
1296466,352872484864,225042452480
1301885,354333413376,226106400768
1307304,355808157696,226743779328
1312718,357499297792,227502534656
1318136,359808319488,228898091008
1323545,361880289280,229203996672
1328921,364556316672,230225858560
1334336,365692825600,231174746112
1339756,367247380480,231646597120
1345146,368438030336,232744652800
1350543,370243055616,233122398208
1355972,371878432768,234090397696
1361385,373597843456,235045109760
1366762,375359365120,235300569088
1372232,376740061184,236600422400
1377729,378505969664,237518864384
1383181,380475121664,238357979136
1388693,382325653504,239525744640
1394179,384437862400,240516718592
1399654,386158362624,240924110848
1405096,387578851328,242263203840
1410561,389050277888,243003916288
1415988,390917111808,243844657152
1421479,392814092288,244910260224
1426933,395351252992,245430091776
1432410,396981104640,246364717056
1437890,398298505216,247159144448
1443382,400190713856,248015826944
1448854,401349054464,249049964544
1454353,403414007808,249984741376
1459788,405788717056,250762846208
1465229,410001285120,251253141504
1470693,412794933248,251432222720
1476210,414223233024,253360963584
1481554,415658356736,253360963584
1486993,416948232192,256949043200
1492420,422152499200,256949043200
1497845,426937790464,256949043200
1503317,430697259008,257500557312
1508767,435218112512,258621702144
1514168,438989660160,259127578624
1519584,442364641280,260307283968
1525001,446922862592,260710440960
1530455,451030433792,260711387136
1536011,454055841792,262529417216
1541435,459263725568,263019859968
1546889,462906695680,263302176768
1552344,466908520448,264511348736
1557806,470260154368,265209761792
1563259,472722657280,266099752960
1568690,476137439232,266246172672
1574143,479090421760,266482692096
1579629,481735098368,267850461184
1585028,484864630784,267850461184
1590516,486664228864,269156597760
1595936,489979166720,269563875328
1601410,492302094336,270542446592
1606852,494867734528,270830055424
1612313,497278070784,271410020352
1617792,499529461760,272541437952
1623274,501225574400,272790466560
1628756,503736963072,273999798272
1634169,506734215168,274416582656
1639619,508242857984,275862384640
1645060,512527470592,276237230080
1650536,515443212288,277192626176
1655985,518632701952,277309972480
1661456,520704237568,278452375552
1666893,523979255808,278850387968
1672334,526604525568,280031805440
1677796,530884730880,280426352640
1683227,533682638848,280637235200
1688667,536530628608,281931104256
1694129,540079149056,282585702400
1699568,542697230336,283292770304
1705005,544917856256,283342004224
1710499,547769937920,284578209792
1715912,549803495424,284717584384
1721407,552086556672,285983350784
1726860,553992691712,286382960640
1732368,555586711552,287550558208
1737856,557282312192,288206995456
1743358,559762497536,289196343296
1748818,561321615360,290354323456
1754324,564161748992,291422961664
1759817,566502313984,292333170688
1765327,568355651584,293462196224
1770785,570662465536,294239408128
1776251,572381057024,295229984768
1781713,574858665984,295799050240
1787153,577179910144,296996691968
1792590,578731421696,297848156160
1798042,581322715136,298761842688
1803555,582925250560,300149981184
1809015,584189652992,300859359232
1814490,586622480384,302590603264
1819943,589310550016,303674716160
1825352,593418649600,304440430592
1830793,596359852032,305509965824
1836213,601238749184,306076393472
1841692,604894363648,307333873664
1847170,608670105600,307929862144
1852578,612198424576,308510646272
1857957,614065332224,309563359232
1863441,616125632512,309906186240
1868849,619248910336,310948347904
1874263,622370201600,311744020480
1879699,626319364096,312294526976
1885135,628922249216,313230348288
1890540,632270725120,313668653056
1895973,634712006656,314663694336
1901382,638170976256,314949369856
1906871,640169680896,315933683712
1912336,643184766976,316419825664
1917813,646556295168,318363217920
1923264,648516857856,318582992896
1928752,651668054016,318988054528
1934258,653987401728,318988054528
1939612,656408793088,318988054528
1945044,658633682944,322916954112
1950457,662834929664,322916954112
1955902,665933180928,323932499968
1961364,670359154688,324292628480
1966792,673723891712,325308141568
1972265,677446602752,326301601792
1977721,680541609984,327618826240
1983142,684871503872,328162779136
1988572,689020436480,329047040000
1994010,693233651712,329347473408
1999441,696398438400,330490421248
2004821,700723314688,330490421248
2010282,703623856128,331634200576
2015756,707068563456,332148916224
2021213,710378147840,332893970432
2026604,713288957952,333805727744
2032041,716302028800,334460293120
2037493,719906639872,335737856000
2042907,723300585472,336125366272
2048336,726641762304,337499725824
2053816,730367320064,338178002944
2059253,734230118400,339437453312
2064728,737507909632,340138139648
2070132,741859745792,340753084416
2075585,745189027840,341046738944
2080936,748231647232,342155673600
2086358,751703666688,342586687488
2091845,755143237632,344144482304
2097334,758579957760,345185533952
2102805,761886470144,346605883392
2108194,766428733440,346884546560
2113639,770317717504,347872698368
2119080,774384111616,348709920768
2124503,778231197696,349089501184
