timestamp_ms,bytes_read,bytes_written
0,62124032,6234112
5371,146993152,39038976
10717,148467712,78094336
16081,150106112,113475584
21466,151842816,167616512
26819,153333760,226357248
32182,154169344,290803712
37567,156086272,384438272
42941,161624064,532480000
48318,300433408,772104192
53875,592908288,1149644800
59215,746483712,1579126784
64580,1020514304,2147004416
69958,1155739648,2747244544
75300,1290117120,3289333760
80666,1558433792,3806969856
86039,2094800896,4545343488
91379,2363342848,5337059328
96734,2765549568,5946077184
102107,3218599936,6676377600
107441,3570298880,7591575552
112816,3972534272,8704585728
118170,4509806592,9377837056
123507,4912189440,10044178432
128872,5582565376,10739281920
134245,6018531328,11599265792
139619,6841507840,12421042176
144984,7514206208,13569290240
150385,8173826048,14265880576
155740,9083723776,15935528960
161103,9779040256,16989347840
166481,10508857344,18005929984
171859,11197743104,18718400512
177237,11961356288,19586842624
182618,12821368832,20464521216
187986,13532774400,21197033472
193327,14322151424,21865807872
198708,15094161408,22632841216
204050,16015036416,23384137728
209433,16813760512,24201109504
214798,17589370880,25699475456
220194,18500382720,26361450496
225586,19403313152,27342512128
230948,20273766400,28158574592
236291,21215825920,29378867200
241697,22213836800,30360322048
247094,23043866624,32516210688
252485,23881551872,33190252544
257884,24864260096,34455441408
263277,25677271040,35482107904
268694,26868891648,36729856000
274053,27541868544,37324623872
279407,28642103296,37957263360
284781,29506441216,38675329024
290164,30436032512,39347347456
295556,31287959552,40253628416
300948,32114733056,40862670848
306332,33078382592,41764655104
311767,33989685248,42404540416
317222,35016327168,43333652480
322724,35841024000,44272103424
328236,37078790144,45316808704
333682,37697818624,46185324544
339216,38852722688,48159903744
344639,39611080704,49460019200
350104,40784084992,50767245312
355624,41462394880,53095116800
361128,43112378368,54090907648
366653,44198555648,54697119744
372144,45147172864,55424385024
377625,46394343424,56470810624
383129,47425998848,57291284480
388576,48265117696,58021498880
394061,49329836032,58708398080
399520,50008367104,59671351296
404992,51381878784,60485054464
410474,52368359424,61234434048
415991,53402497024,62458089472
421524,54520315904,63181303808
427002,55253532672,63756242944
432492,56284299264,65046601728
437971,57236045824,67494731776
443443,57993158656,68178341888
448927,59145900032,69736742912
454459,60660867072,71038693376
459997,61656182784,72221274112
465486,63568125952,73095581696
470993,64937701376,73681117184
476489,66139746304,74439884800
482003,66963988480,75264000000
487539,68614414336,76243533824
493047,70167465984,76837556224
498571,70812753920,77761445888
504108,71423909888,78570561536
509607,72565583872,79180632064
515132,73944342528,80162500608
520695,75006066688,81465655296
526231,76408389632,82437697536
531756,77492482048,82824622080
537270,79308394496,84905046016
542735,80409702400,85945315328
548255,81242730496,86856146944
553760,82283610112,88074326016
559290,84101722112,89885417472
564735,85990866944,92910788608
570155,86960971776,93291917312
575700,88498393088,94125797376
581172,89766367232,95235260416
586687,90928902144,96242987008
592154,92293976064,96952438784
597636,94011572224,97820667904
603222,95518560256,100691644416
608756,96769802240,101390520320
614305,98145669120,102652108800
619795,99914260480,103475691520
625296,101295202304,104266440704
630818,102316933120,104533508096
636261,103444934656,105146470400
641728,104472723456,106176274432
647315,105957588992,107668332544
652831,107323572224,108818214912
658295,108729790464,109659660288
663787,110414811136,110478901248
669299,112217980928,110887075840
674812,113580847104,111866634240
680330,114902220800,112786812928
685862,115929694208,113467617280
691313,117427339264,114158465024
696827,118603968512,115285561344
702349,120314748928,116068966400
707846,121518260224,117110231040
713321,122823905280,117664346112
718800,124339380224,118892773376
724356,125931204608,120048467968
729829,127149096960,120951463936
735362,128435769344,122208198656
740829,130649387008,123299000320
746332,132069883904,124659789824
751851,134359474176,125619445760
757360,135926157312,126465806336
762875,137512939520,127359754240
768409,139158638592,128121700352
773903,141777117184,129066975232
779425,144674762752,129564717056
784902,146350682112,135078924288
790379,147969974272,135726673920
795843,149549699072,136503840768
801304,151481040896,137380069376
806768,153162756096,137739116544
812226,155451146240,139209170944
817767,157260181504,140465295360
823267,159095324672,141279666176
828797,161150369792,141924081664
834271,162913406976,142303383552
839747,164707164160,143483211776
845266,166320660480,144468647936
850784,168048529408,145426702336
856307,169584259072,146350882816
861804,170830962688,147721814016
867305,173314277376,148651323392
872765,174924079104,149634347008
878248,176456994816,150897471488
883770,178325667840,152155590656
889285,180288032768,153515556864
894737,182462451712,154350514176
900228,184051884032,155312140288
905721,185977774080,156537376768
911220,188183453696,157225234432
916722,190813917184,158647615488
922208,192219971584,160045273088
927705,195095113728,160900878336
933191,196278120448,161754689536
938667,197572755456,162780205056
944153,199333666816,163743891456
949634,201428226048,164267053056
955159,204683837440,165373382656
960625,207485890560,167933362176
966109,208656510976,168455479296
971594,210299305984,168940761088
977135,212430417920,170373509120
982632,213997035520,171514339328
988116,216087134208,172025589760
993525,217367879680,173460914176
998944,219578089472,174911311872
1004361,221986295808,175954726912
1009797,224781549568,177111351296
1015197,227175878656,177715085312
1020600,229850476544,178975879168
1025991,231620468736,180345843712
1031415,234018635776,180876165120
1036782,235645775872,181071900672
1042167,237384249344,181977124864
1047571,239357333504,182784909312
1053045,240898842624,183216513024
1058456,242554003456,183770628096
1063766,246306324480,183942725632
1069110,248264466432,186952433664
1074537,249945878528,191074312192
1079943,252603887616,191552937984
1085352,254350155776,191679938560
1090767,256377540608,192430227456
1096199,258578046976,193378832384
1101629,261166362624,193725644800
1107078,263339298816,195003408384
1112516,265647661056,195778269184
1117919,267608641536,195896168448
1123383,270188187648,196539772928
1128715,272178167808,196605181952
1134077,273746640896,201092030464
1139466,275822637056,201350483968
1144854,278081818624,201918111744
1150267,280350400512,202868244480
1155663,283424256000,203173715968
1161076,285364051968,204186902528
1166500,287735705600,204687200256
1171910,289839837184,205315338240
1177305,291884105728,206292312064
1182731,294511788032,207071125504
1188155,297020432384,208209133568
1193572,298293026816,208864387072
1198986,301325500416,209730174976
1204407,302670970880,210482991104
1209822,305007800320,210581065728
1215265,307100164096,211504635904
1220677,308908179456,212520525824
1226091,311052980224,213190066176
1231504,312457199616,214131052544
1236928,314283954176,214401093632
1242332,316167127040,215398055936
1247746,318170501120,216350011392
1253170,320205664256,216879370240
1258568,321774669824,218155835392
1263986,324096016384,218670530560
1269432,325519355904,219094470656
1274842,326902865920,220120403968
1280272,329064984576,220735606784
1285698,331490201600,222029258752
1291119,333196845056,223202484224
1296540,334760894464,223431962624
1301944,336078725120,224337805312
1307381,337741115392,224944513024
1312733,339817496576,225932922880
1318158,342404866048,226929700864
1323563,343599730688,227898449920
1328991,344904708096,228498046976
1334438,346038427648,229379989504
1339889,347288363008,229791178752
1345270,348886560768,230827401216
1350691,350301487104,231997378560
1356100,351729725440,232797417472
1361523,353410580480,233964793856
1366954,354968383488,234977189888
1372388,356242952192,236040970240
1377804,357952622592,236414623744
1383237,359764545536,237593636864
1388676,360955817984,238734102528
1394101,362625060864,239301120000
1399500,363644063744,240242958336
1404929,364909871104,240891686912
1410307,366909747200,241739382784
1415710,368685764608,242806956032
1421160,370282889216,243660398592
1426699,372045365248,245092315136
1432141,373151924224,245367447552
1437588,375185571840,246580314112
1443067,377101856768,247313911808
1448566,380519530496,248058515456
1453942,383537971200,248129458176
1459289,385789739008,248129458176
1464688,387787919360,250578800640
1470145,391525265408,256830885888
1475546,396168458240,256830885888
1481051,400542523392,257100611584
1486510,404877688832,258132398080
1491978,408617701376,258598281216
1497502,411641630720,260143038464
1502923,416196845568,260991668224
1508372,420499468288,261056745472
1513945,423997202432,262772072448
1519427,429226201088,263284686848
1524869,433145610240,263462162432
1530383,436755988480,264192704512
1535815,440307687424,264192704512
1541312,442682306560,265256087552
1546782,446224211968,265444765696
1552348,448181825536,266374840320
1557775,451246362624,267185315840
1563231,454186164224,267457748992
1568749,456478502912,268522987520
1574241,459596513280,268915204096
1579708,461431201792,270330363904
1585151,464492990464,270357045248
1590630,466148044800,271683104768
1596108,468083351552,272555483136
1601590,469769822208,273773793280
1607056,473383596032,274909442048
1612534,475888357376,275828891648
1618050,478814347264,277064597504
1623498,482842292224,277318287360
1628991,485497610240,278227185664
1634423,488603541504,278263324672
1639891,490507198464,279543869440
1645376,493746040832,279969935360
1650882,496728666112,281352425472
1656347,500834283520,281745510400
1661856,502627467264,282465484800
1667337,505616834560,283255128064
1672794,507704422400,283662393344
1678292,509576024064,284273909760
1683763,511461310464,285056655360
1689221,513654767616,285876412416
1694720,514873905152,286837071872
1700171,517665951744,287543812096
1705696,519216328704,288356880384
1711132,520471572480,288802500608
1716688,522682814464,289698119680
1722212,524545073152,290650619904
1727726,526472966144,291739893760
1733210,528650887168,292731981824
1738765,530700603392,294097141760
1744330,533097209856,295297851392
1749816,534914965504,296073322496
1755284,537151541248,296962232320
1760758,539279769600,298096668672
1766226,540459462656,299175735296
1771706,542890680320,300184104960
1777205,544871272448,301594017792
1782653,546777141248,302469783552
1788083,550269136896,303989739520
1793531,552296194048,305448333312
1798946,555984084992,306182696960
1804330,558916599808,307317809152
1809736,563012354048,307598237696
1815136,566030295040,308568002560
1820554,569633415168,308856348672
1825919,572378914816,310069383168
1831348,574654283776,310858444800
1836773,576909357056,311285080064
1842220,579725348864,312325206016
1847611,581989212160,313011642368
1853010,585094811648,313996386304
1858422,587577491456,315209338880
1863851,590365507584,315861655552
1869261,592615415808,316837867520
1874664,594528813056,317590425600
1880074,596730011648,318891671552
1885491,599500976128,319836950528
1890880,603861319680,321838432256
1896280,607086428160,321891508224
1901740,610560053248,322513301504
1907229,612959920128,322513301504
1912567,615031541760,322513301504
1917917,616965165056,326968659968
1923288,621366136832,326968659968
1928684,624521195520,327590481920
1934069,628717379584,327953399808
1939464,632014336000,329019858944
1944879,635926142976,329297920000
1950308,639264120832,330432544768
1955732,643177308160,331147120640
1961148,646549741568,332240953344
1966571,649770303488,333363306496
1971964,654211174400,334108114944
