timestamp_ms,bytes_read,bytes_written
0,35160064,6164480
5391,136921088,113168384
10782,153501696,281522176
16121,421892096,603041792
21446,699518976,1098620928
26746,894484480,1574875136
32079,902856704,1876381696
37415,903618560,2325762048
42877,920530944,2780504064
48213,921948160,3335004160
53558,922480640,3763990528
58876,923238400,4245766144
64330,923766784,4718571520
69690,924028928,4842606592
75010,924295168,5228355584
80340,925114368,5609365504
85665,925691904,6200725504
91040,926511104,6617444352
96388,927301632,7091027968
101704,928112640,7510425600
107149,928665600,8039600128
112450,1330847744,8400396288
117788,1733214208,8968892416
123200,2001457152,9765273600
128548,2537902080,10322771968
133897,2671886336,10921541632
139212,3074416640,11119366144
144550,3342872576,12312776704
149872,3676323840,12774682624
155216,4115079168,13367533568
160557,4529876992,13955039232
165910,4897177600,14605025280
171231,5315592192,14928859136
176575,5772128256,15490732032
181893,6364778496,15863406592
187262,6635921408,16160395264
192786,6945226752,16709881856
198235,7359389696,17244344320
203683,7990521856,17711194112
209022,8442957824,18099429376
214410,8764882944,18443493376
219769,9326649344,18751807488
225137,9681436672,20105625600
230547,10328035328,20704043008
235917,10745663488,21318258688
241260,11020652544,21659217920
246605,11422420992,22543609856
251950,11841966080,23347310592
257309,12357648384,23741399040
262638,12776767488,24059326464
267964,12969549824,25003159552
273309,13630414848,25328308224
278682,14055051264,25693978624
284049,14373392384,27391418368
289375,14512263168,27585298432
294741,14827364352,27831611392
300086,15135211520,28047630336
305423,15457357824,28521402368
310830,16036077568,29349474304
316179,16688881664,29813354496
321554,16986140672,30182637568
326907,17125097472,30550413312
332325,17402392576,30793482240
337693,18222862336,31303577600
343093,18522402816,31663239168
348480,18836942848,31932350464
353883,19169497088,32269066240
359234,19438166016,32662581248
364623,19980095488,32968310784
369979,20443869184,33413234688
375303,20860547072,33897746432
380641,21367386112,34995765248
386018,21530513408,35697975296
391367,21812731904,36063531008
396709,22095970304,36247896064
402084,22631616512,36753215488
407571,22949814272,37019279360
413047,23337242624,37453037568
418530,23951814656,38107701248
424010,24572592128,38672809984
429508,25149435904,39051980800
435020,25550733312,39632363520
440455,25962049536,40556630016
445924,26375729152,41251344384
451396,26633494528,41711869952
456819,26928332800,41960919040
462370,27095912448,42283220992
467888,27373867008,42446737408
473363,27776139264,42622910464
478827,27958743040,44639666176
484364,28479205376,45154267136
489876,28881137664,45504733184
495362,29428305920,45794086912
500811,29430546432,47103320064
506426,29703872512,47299637248
511934,30397435904,47844241408
517448,30712492032,48221003776
523070,30867075072,48510492672
528531,31405146112,48786989056
534026,31606398976,49395920896
539534,32082092032,49874366464
545025,32736329728,50504347648
550551,33140158464,50672828416
556017,33408073728,50979237888
561499,34209689600,51482640384
566967,34257924096,52008722432
572388,34527473664,52140584960
577894,34930675712,52377366528
583338,35337682944,52508667904
588859,35588931584,53290049536
594437,36043022336,53895049216
599888,36446941184,54254784512
605341,36854276096,54405521408
610876,36940132352,54763360256
616337,37572530176,55165939712
621812,38205181952,55882391552
627377,38606180352,56237875200
632883,38761615360,56529080320
638413,39163445248,56672641024
643925,39596150784,57335726080
649479,39860576256,57927651328
654954,40319770624,58896371712
660398,41434206208,60004151296
665916,42003410944,60936245248
671428,42603859968,62050824192
676942,43556478976,64864735232
682556,43997933568,65243738112
687988,44507062272,65720791040
693365,44919308288,65920319488
698864,45066977280,66088853504
704288,45523804160,66535153664
709949,45815222272,66741383168
715345,46087921664,66891210752
720785,46619131904,67377307648
726224,46737268736,67873239040
731668,47412748288,68104835072
737162,47434813440,68577505280
742597,47972491264,68741087232
748062,48250269696,68917985280
753549,48652558336,69155377152
759013,49316261888,69592494080
764469,49488007168,70023606272
770009,49737494528,70707814400
775501,50614530048,71047684096
781203,50837831680,71583399936
786760,51120320512,71806443520
792248,51395440640,72186429440
797683,52064268288,72186535936
803157,52092284928,72627396608
808590,52470792192,73136840704
814070,52962205696,73584521216
819597,53264039936,74188509184
825085,54157258752,74870775808
830514,54373937152,75319578624
835935,54864674816,75593048064
841365,55299547136,75828600832
846877,55366340608,76374224896
852350,56140017664,77020848128
857799,56257011712,77610758144
863236,57018408960,78154539008
868891,57388003328,78848417792
874351,57954574336,79100129280
879898,58223513600,79325491200
885327,58381811712,79564685312
890767,58516652032,79750180864
896133,59116204032,81488584704
901573,59939504128,81868083200
906941,60627755008,82621202432
912339,61184032768,83251740672
917716,61708865536,83647787008
923115,61709172736,83899908096
928514,61985865728,84406456320
933929,62387822592,84601511936
939302,62771437568,85433368576
944722,63428718592,85776408576
950129,63835131904,89666166784
955488,64447209472,89788600320
960853,64597708800,90155634688
966209,65059123200,90952335360
971601,65382100992,91800829952
977013,66555559936,92640780288
982393,67210752000,92959883264
987790,67628969984,93718003712
993187,68378734592,94218244096
998625,68564377600,94766231552
1004002,69376348160,94995136512
1009342,69559771136,95297646592
1014683,70005694464,95488561152
1020085,70281990144,95697666048
1025434,70370914304,96080437248
1030808,70645407744,96307040256
1036199,71116787712,98993262592
1041601,71565213696,99190267904
1046972,71709167616,99454259200
1052330,72371236864,100067487744
1057725,73280331776,100566806528
1063121,73447669760,101138063360
1068516,74162847744,101622382592
1073919,74305421312,101865910272
1079254,74856239104,102849556480
1084672,75129737216,103056646144
1090056,75683667968,103776407552
1095447,75926409216,104140754944
1100827,76070100992,104527314944
1106232,76823220224,104848146432
1111674,77413924864,105436631040
1117046,77643530240,106154651648
1122402,78313029632,106154651648
1127847,78400057344,106865590272
1133234,78669864960,107151626240
1138616,79071813632,107399073792
1144025,79591157760,108165193728
1149421,80135573504,108340211712
1154818,80201445376,108934307840
1160193,81249681408,109857751040
1165584,81931124736,110430810112
1170997,82530553856,111616610304
1176410,83581571072,112045465600
1181830,83786862592,112533540864
1187172,84359880704,113386024960
1192598,84769787904,113386024960
1198047,84828073984,114159161344
1203393,85379076096,114633170944
1208806,85925163008,114954215424
1214346,86114099200,115770851328
1219842,86880710656,116759658496
1225307,87071604736,117633736704
1230863,87789395968,118253711360
1236325,88582893568,118333317120
1241734,89075453952,118598533120
1247152,89306656768,119330537472
1252588,89736343552,119573917696
1258064,89848602624,120078364672
1263540,90351034368,120166473728
1269099,90623815680,120408186880
1274539,91393552384,120973144064
1279958,91673563136,121025355776
1285572,91691634688,121333903360
1290969,92149608448,122082463744
1296434,92827111424,122325843968
1301973,92840890368,122879909888
1307382,93365866496,123465834496
1312871,93754580992,123770503168
1318262,94457290752,124563746816
1323667,94892048384,124563746816
1329134,94963871744,124999282688
1334547,95475601408,125390561280
1339916,95884144640,125390561280
1345469,95898079232,125850214400
1350885,96311189504,126229135360
1356345,96588541952,126455738368
1361852,96889741312,126887657472
1367226,97431277568,126887657472
1372802,97582206976,127176491008
1378294,98067468288,127924809728
1383719,98665512960,128146792448
1389162,98800664576,128413818880
1394621,99387334656,129105010688
1400041,100208410624,129281826816
1405445,100476686336,129281826816
1410950,100558807040,129825169408
1416378,100829138944,130025619456
1421800,101099044864,130143170560
1427338,101174247424,130657890304
1432803,101576839168,130657890304
1438233,102113050624,130918047744
1443749,102666936320,131356602368
1449208,104528343040,131687591936
1454595,105901744128,135352766464
1460016,106980696064,135352766464
1465455,107813552128,135646478336
1471108,108046499840,136467468288
1476575,109423226880,137550966784
1482014,109970874368,137550966784
1487589,110305136640,138088996864
1493028,111290114048,139317194752
1498467,111697412096,139625730048
1503926,111711170560,139943510016
1509288,112350896128,140145938432
1514676,112505872384,140145938432
1520154,112644915200,140401922048
1525585,113268805632,141275475968
1531017,114006355968,141465886720
1536469,114165035008,141711515648
1541959,114777067520,143216308224
1547411,115556216832,144804601856
1552844,116654309376,145426477056
1558397,116881604608,145975099392
1563788,117354717184,145975099392
1569199,117773475840,145975099392
1574685,117911478272,146321924096
1580136,118180683776,146726809600
1585511,118763909120,146726809600
1590987,118926778368,146994774016
1596412,119572914176,147727147008
1601796,119942770688,147849867264
1607203,120087699456,147849867264
1612760,120399966208,148707753984
1618237,121132003328,149485219840
1623658,122066440192,149857292288
1629104,122225799168,150164938752
1634506,122673532928,150687907840
1639919,123490381824,150687907840
1645294,123633434624,150948065280
1650742,123832168448,151406280704
1656144,123977986048,151406280704
1661566,124123394048,151406280704
1667192,124167557120,151874375680
1672621,124738379776,152560300032
1678017,125546143744,152560300032
1683403,125687185408,152560381952
1688905,125851721728,153333260288
1694348,126074404864,153791258624
1699735,126346387456,153791258624
1705221,126629466112,154226397184
1710709,127202537472,155225022464
1716132,127800614912,155458777088
1721628,127950536704,155718934528
1727086,128391065600,156221792256
1732502,128782106624,156332150784
1737880,129066090496,156332150784
1743373,129324478464,156797161472
1748866,130145009664,157826887680
1754281,130495029248,157952167936
1759674,130771861504,157952167936
1765238,130935836672,158575529984
1770700,131689619456,160453906432
1776131,132188508160,160556916736
1781554,132476628992,160758353920
1787035,132848705536,161498046464
1792451,133185142784,162099871744
1797815,133630746624,162099871744
1803211,133918564352,162393583616
1808727,134007050240,162736939008
1814136,134485647360,162736939008
1819542,135082782720,162736939008
1824939,135522480128,162736939008
1830472,135543267328,163383455744
1835901,135946797056,164093042688
1841284,135972974592,164152184832
1846689,136785522688,164152184832
1852204,136951484416,164746244096
1857648,137634222080,166211842048
1863027,137669890048,166349803520
1868380,137679327232,166349803520
1873767,137815412736,166662344704
1879231,138546208768,168364535808
1884723,139413860352,169437052928
1890159,139590389760,169954234368
1895557,139989483520,170239557632
1901123,140042244096,170799976448
1906505,140341661696,170799976448
1911913,140754911232,170799976448
1917302,141163712512,170799976448
1922797,141442883584,171133104128
1928378,143618170880,171895152640
1933790,145902473216,174381969408
1939180,146441768960,174381969408
1944599,146619441152,174381969408
1949972,147021418496,174381969408
1955628,147234168832,174813245440
1961121,148160946176,176579989504
1966573,149045989376,177440239616
1971965,149640482816,177440239616
1977324,150013747200,177440239616
1982905,150119845888,178077175808
1988338,151050911744,179291529216
1993742,151531175936,179354488832
1999135,151857270784,179354488832
2004547,151886401536,179673366528
2010130,152024772608,180101734400
2015512,152267223040,180101734400
2020939,153139994624,180101734400
2026353,153331134464,180101734400
2031897,153340862464,180593844224
2037327,153737891840,181294280704
2042734,153840218112,181400158208
2048116,153998790656,181400158208
2053540,154550038528,181400158208
